	ERG	LDB1	TAL1	SIGLEC5	KLF4	HOXA4	CBFA2T3	LMO2	ETV6	FN3K	KLF11	ITGA2B7	FLI1	LYL1	CLNK	PAX5	CEACAM1-2	ITGA2B4	GATA1	MEIS1	LCK	CSF1R	ANXA2	AREG	GATA2	MITF	PLEK	PLOD3	JUN	FIGN	GFI1	NFE2	CSF2RB	CR1	HIST1H3A	Hsp-90	GFI1B	SPI1	IL7R	CD22	ABO	actin	HHEX	RUNX1	ID2	CST7	IL13RA1	CD34
Y112F2	3.557262393	1.400617405	1.024386269	2.5741E-297	2.5741E-297	0.54496875	0.139274831	0.953608139	3.121768814	2.5741E-297	2.5741E-297	2.5741E-297	3.272649053	0.660369575	2.5741E-297	2.5741E-297	2.5741E-297	0.135018579	2.5741E-297	0.769943231	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.436344964	2.5741E-297	0.655096795	2.5741E-297	0.308289818	0.201110153	2.5741E-297	1.231995991	2.5741E-297	0.001085452	0.854286601	1.430214978	0.317752089	0.928201011	2.5741E-297	2.5741E-297	0.169067857	14.2037923	0.48737759	0.748691768	2.5741E-297	2.5741E-297	2.5741E-297	1.38103912
Y112F3	1.946651773	0.319519515	0.336848874	2.5741E-297	0.007003678	2.5741E-297	2.5741E-297	2.350147149	1.41168957	2.5741E-297	2.5741E-297	2.5741E-297	0.587488516	0.212156761	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.052241832	2.5741E-297	2.5741E-297	2.5741E-297	10.47776732	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.272375779	0.267000575	2.5741E-297	0.371651362	2.5741E-297	0.053701693	0.879938189	0.897810789	2.5741E-297	0.210516609	2.5741E-297	2.5741E-297	0.134606721	5.043362547	1.275781564	1.053780153	0.000660422	2.5741E-297	2.5741E-297	1.449297113
Y112F4	1.769164099	0.7778558	0.174814383	0.419299343	2.5741E-297	0.008417522	0.322316345	3.6627497	3.129159785	0.56575082	2.5741E-297	2.5741E-297	2.597344317	1.233027448	2.5741E-297	2.5741E-297	2.5741E-297	0.708037559	2.5741E-297	0.899775536	2.5741E-297	0.000419205	0.30423185	2.5741E-297	0.91123582	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.044593993	0.168674157	1.900338445	2.5741E-297	0.52039648	0.680789134	6.800815417	2.5741E-297	1.085916029	2.5741E-297	2.5741E-297	0.157530548	47.74562421	4.013227611	1.214144887	0.003006061	2.5741E-297	2.5741E-297	2.395694908
Y112F5	1.560050264	1.197177201	2.5741E-297	0.101799849	2.5741E-297	2.5741E-297	0.295734711	1.209295963	1.21770702	2.5741E-297	2.5741E-297	0.110614272	2.356423459	0.379133089	2.5741E-297	2.5741E-297	2.5741E-297	0.114585211	2.5741E-297	0.254216435	2.5741E-297	2.5741E-297	2.5741E-297	7.323632302	1.146878412	2.5741E-297	1.005725992	2.5741E-297	0.190262967	0.147615981	0.4340296	1.581931032	2.5741E-297	0.314734677	0.27356942	2.199710597	0.688845242	0.453431514	2.5741E-297	2.5741E-297	2.5741E-297	11.92406692	0.859394814	2.050439171	2.5741E-297	2.5741E-297	0.223371236	2.338086237
Y112F6	0.312757358	0.527023149	2.5741E-297	2.5741E-297	0.126337928	0.258157213	0.000565746	0.969279532	0.581131689	2.5741E-297	0.233322598	0.0478863	0.943849346	0.538892541	2.5741E-297	2.5741E-297	2.5741E-297	0.330946256	2.5741E-297	0.906792229	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.252648284	2.5741E-297	2.5741E-297	2.5741E-297	0.330823206	0.105956467	2.5741E-297	1.231296558	2.5741E-297	2.5741E-297	2.5741E-297	1.182711396	0.490562961	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	12.01082822	1.579455933	0.851945149	2.5741E-297	2.5741E-297	2.5741E-297	1.544351799
Y112G1	0.985176534	1.230596585	2.5741E-297	2.5741E-297	2.5741E-297	0.552326557	0.101566557	2.343447872	1.135815834	2.5741E-297	2.5741E-297	2.5741E-297	1.58511353	0.501180382	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.602340328	2.5741E-297	2.5741E-297	0.262570925	5.07664894	0.334091658	0.360798172	0.709596921	2.5741E-297	2.5741E-297	0.129449389	2.5741E-297	0.695569981	2.5741E-297	0.334307097	2.5741E-297	2.123842819	2.5741E-297	0.189954956	2.5741E-297	2.5741E-297	2.5741E-297	22.7749816	0.74427837	0.983562245	0.387862182	2.5741E-297	2.5741E-297	1.80432678
Y112G2	3.158776328	0.135534073	0.290769659	2.5741E-297	2.5741E-297	0.143773229	0.244631965	0.59643862	1.761595256	2.5741E-297	2.5741E-297	0.101081742	0.565463367	0.448230187	2.5741E-297	2.5741E-297	0.269839118	2.5741E-297	2.5741E-297	0.192509795	2.5741E-297	2.5741E-297	2.5741E-297	3.920379007	0.570249336	2.5741E-297	0.292225908	2.5741E-297	3.377180221	2.5741E-297	2.5741E-297	1.107707028	2.5741E-297	0.169939115	0.423181259	0.736008308	0.238576875	0.522422702	2.5741E-297	2.5741E-297	0.276701708	11.07303733	0.851706722	0.944776185	2.5741E-297	2.5741E-297	2.5741E-297	2.468510478
Y112G3	1.689258325	0.776467435	2.5741E-297	2.5741E-297	0.122930099	2.5741E-297	0.316429076	1.174248229	2.37147479	0.409700396	2.5741E-297	2.5741E-297	2.148019589	0.104730628	2.5741E-297	2.5741E-297	0.198385587	2.5741E-297	2.5741E-297	0.586316561	2.5741E-297	2.5741E-297	0.084349326	2.5741E-297	0.319895671	2.5741E-297	0.331600655	2.5741E-297	1.596572415	0.168760038	2.5741E-297	0.571510413	0.123421982	0.004032965	1.459710083	1.556301858	0.153407138	0.566028439	2.5741E-297	2.5741E-297	0.157268482	7.556421574	0.094271109	0.707317278	0.009249186	0.177637363	2.5741E-297	1.409771235
Y112G4	2.467039147	0.125951194	0.433501571	2.5741E-297	0.800044693	0.226054319	0.027398865	1.743432218	1.711172618	2.5741E-297	2.5741E-297	2.5741E-297	1.332788357	0.280734912	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.210755438	2.5741E-297	2.5741E-297	0.2023898	0.993163311	0.428351268	2.5741E-297	0.255886032	2.5741E-297	0.981886058	0.183729914	2.5741E-297	1.335706078	2.5741E-297	0.217350378	2.644312137	1.333394676	0.510182492	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	14.21378353	0.386622252	1.860152752	0.058714351	2.5741E-297	2.5741E-297	1.026094903
Y112G5	2.987942144	0.146464494	0.264196302	2.5741E-297	2.5741E-297	2.5741E-297	0.095238655	1.350333663	2.191687786	2.5741E-297	2.5741E-297	2.5741E-297	1.297684935	0.376140856	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.237945857	2.5741E-297	2.5741E-297	2.5741E-297	10.26824849	0.301674865	2.5741E-297	0.232058207	0.064102069	1.243907042	2.5741E-297	2.5741E-297	1.708708336	2.5741E-297	2.5741E-297	3.201991817	0.590458395	0.302080759	0.965650972	2.5741E-297	2.5741E-297	2.5741E-297	6.179194504	0.352613218	0.489715819	0.339307422	2.5741E-297	2.5741E-297	1.287519826
Y112H2	1.726903307	0.341600924	0.192985887	2.5741E-297	2.5741E-297	0.694927612	0.113993781	1.236094414	1.263316386	0.163772909	2.5741E-297	2.5741E-297	2.662858641	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.457123821	2.5741E-297	2.5741E-297	0.043112773	2.072294725	0.895659054	2.5741E-297	2.5741E-297	2.5741E-297	0.957073343	0.129720681	0.354801119	2.492477055	2.5741E-297	0.171333267	1.230061906	0.579366778	0.460709197	0.637450089	2.5741E-297	2.5741E-297	0.350403913	4.363750015	0.750694841	1.603764451	0.204414012	2.5741E-297	2.5741E-297	1.230375536
Y112H3	1.456091153	0.191368862	2.5741E-297	2.5741E-297	2.5741E-297	0.333469435	0.128340379	0.889180031	0.707810099	2.5741E-297	2.5741E-297	2.5741E-297	0.670912344	0.010025492	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.666526978	2.5741E-297	2.5741E-297	0.138880103	0.572502329	2.5741E-297	2.5741E-297	0.8446	2.5741E-297	1.758786437	0.055834512	2.5741E-297	0.656919479	0.388188969	0.252879684	0.387933189	2.145025608	0.009094157	0.993344819	2.5741E-297	0.319742731	2.5741E-297	8.741271886	0.163373275	1.420418948	2.5741E-297	2.5741E-297	2.5741E-297	1.84149091
Y112H4	2.191403663	0.46330674	0.569068511	1.698350601	2.5741E-297	0.0435434	2.5741E-297	2.867495234	2.518190778	2.5741E-297	0.331404292	2.5741E-297	2.37646597	0.334244343	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	2.5741E-297	0.512262528	2.5741E-297	2.5741E-297	0.012462317	2.5741E-297	0.500817972	2.5741E-297	0.433042871	2.5741E-297	0.078661729	0.129755116	2.5741E-297	0.688225225	2.5741E-297	0.252470676	3.313175298	2.141631451	2.5741E-297	1.018144605	2.5741E-297	2.5741E-297	0.765132726	11.13723528	0.259967159	0.904202499	0.002532864	2.5741E-297	2.5741E-297	2.807817108
Y112H5	3.01613299	0.139888372	2.5741E-297	2.5741E-297	2.5741E-297	0.231357199	0.094639887	1.408679223	3.049653752	2.5741E-297	2.5741E-297	0.23192861	1.26796735	0.648225787	0.353961942	2.5741E-297	2.5741E-297	0.260468444	2.5741E-297	0.631942946	2.5741E-297	2.5741E-297	2.5741E-297	4.92003118	1.004274052	2.5741E-297	0.0008851	0.315558953	1.56200428	2.5741E-297	2.5741E-297	0.160527437	2.5741E-297	0.26612215	0.17737187	1.014712138	2.5741E-297	0.932812013	2.5741E-297	2.5741E-297	0.390634592	8.67232479	1.162955299	0.138708144	0.007129432	2.5741E-297	2.5741E-297	1.245816603
