Chip Run Info,C:\Charlotta\Results PCR\#123 chip1 from #121 T21\ChipRun.bml,1131319150,48.48 (113x),GE 48x48 Standard v2,ROX,FAM-MGB,2014-09-01 13:57:08,01:30:15,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0,65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,
21,P5,999,999,10,3926846288742,999,999,8,75790242242143,999,13,1111391556048,10,9490654375623,16,8301188719486,16,1257129284704,999,13,9741198997168,16,8388047626443,999,999,999,16,6015701801581,11,9391165859646,999,999,15,3314650046907,999,999,999,15,2740383052658,18,4412635501995,16,3847855925586,999,14,931070515955,999,999,14,6560147103009,999,13,56924417407,9,78800748628626,999,999,999,15,8847299234331,999,12,9293710245649,12,0139916400447,999,999,999,15,4767929446108,999,,
22,P18,999,999,999,999,999,21,1896976135005,999,14,5429918680549,9,93199999787573,14,4638414443878,15,4414030399846,999,12,4257965785318,18,6544792653658,999,999,999,15,8490604794242,13,6738252825297,999,999,999,999,999,999,13,5855507443323,12,3658456208571,13,5129552873457,999,11,4361294793821,20,5855755686715,13,5490682912713,14,8149928328767,31,3173328899179,12,7388425667057,10,0952668889525,999,12,4874358851781,13,719210441381,12,4786329465701,999,13,0388940684673,14,3125045643164,999,999,999,13,5447852248859,999,,
23,P18,14,9094479370556,999,999,999,999,15,7633425138284,999,13,308371731958,9,4552850527769,16,1806551228384,16,8569728913367,999,12,7297125793005,18,7695808709821,17,1407789002233,999,999,13,8104402646825,13,9076906206298,999,999,999,999,999,999,15,1692719849352,12,8006231724964,13,0110552783433,999,11,9746020699976,17,8681016791141,11,4240749474827,12,4485322214733,999,14,1017414338992,9,71675398590277,999,13,4620200028524,16,0960694674876,14,556380153608,999,13,6615738332713,999,14,5374883347693,999,999,16,1619884946557,999,,
24,P18,11,3862662295567,999,999,999,11,5112041778648,999,14,3059594292813,13,1383077536667,7,04369098389049,12,0906671466989,15,0892570691595,999,10,4323621015796,12,6635152860146,12,4950244088026,13,9032363609767,9,11065602327165,16,5179497766288,12,318439230929,999,16,0966862200564,15,2302685217123,999,999,999,12,8698686062338,13,7410083797084,12,1843276541363,13,0762280090099,999,13,8667575834932,5,28000840772664,13,9575998493911,999,999,7,88496774002659,999,10,0252364070949,10,9148282404284,999,14,1334728923965,9,61201077612145,999,999,999,999,19,3299049391634,999,,
25,P5,13,2720011651356,999,10,6521208913961,16,1495926645432,999,10,6508523644545,999,14,9020661611658,11,3834770330312,14,5839580447819,17,1611464687446,999,999,999,999,999,999,17,657760924877,13,3985672618977,24,8665825146806,17,1290415156775,999,999,999,999,999,15,3609769162253,16,8953242588519,999,13,6646751483015,999,999,17,4566159979368,999,15,753112329328,12,9576874338617,999,13,2296653973719,14,3548361076482,14,6251166220993,999,13,6324734125852,14,5043627547844,999,19,0647506931819,999,13,934449237891,999,,
26,P5,999,999,12,4921891512166,999,999,8,76762402262021,999,14,6072300512015,10,5475640883263,14,8663304185766,17,1607737438685,999,13,2838899746551,999,999,999,999,15,7249451958319,12,1112361195953,18,0846357913766,999,999,999,999,999,999,15,5459271653736,15,1798394350191,999,12,0853776527517,999,999,999,999,11,1113949480341,10,3342808363376,999,999,999,13,9401038260239,999,999,16,0676273676702,15,8943391473354,18,5925029150616,999,13,9605647820616,999,,
27,P5,14,6147263185381,999,10,8360577622992,13,5511418063203,999,11,3791877470878,999,14,0270221795124,12,1872925421594,19,2544296452781,17,0467711008113,999,999,999,999,999,999,15,4164493697547,13,6307355991036,16,6785250572368,999,999,999,999,999,15,3181672602093,13,7118493490938,14,296460428545,999,12,9001205489392,999,999,999,999,14,116909271936,12,2718269929135,999,14,2746417345069,12,7044117868257,13,4712657215691,999,13,5150630442899,24,6538716323642,999,20,9490053797319,999,14,7771398101788,999,,
28,P18,13,1121926706037,18,4952354299865,13,702887465575,15,3342635624949,13,5659160237605,999,16,5734566978788,16,8067361265148,9,35479936088608,14,0618687904466,15,1717284814752,999,12,2358488876302,999,16,6954274342498,999,15,8224891006472,16,1379648965642,12,5190092286431,999,999,15,4953508052275,999,999,16,5405763579414,14,6621383269927,13,1675321911247,13,0763444554979,999,10,7032178740908,16,9405269893457,12,2233683416474,13,9473245266546,999,13,160909142324,9,17240250753822,999,12,5595843073456,13,2400075368696,13,911065208837,16,8053379624436,10,8247627166613,12,0940093899267,999,999,15,8930894929041,12,4809134665334,999,,
29,P18,13,950330629658,999,999,16,2463412441664,999,21,4405347407272,999,14,4283691019431,8,98717021396512,13,9198000111192,14,8308447006882,15,3912231409487,11,9763821024038,18,1331931475761,14,511756990441,999,999,15,4850765881311,12,8476795945149,16,1937223973947,999,17,1929911651721,999,999,999,14,3340950096726,12,488752926228,12,7610295173194,999,10,1742122765135,15,7971118325388,14,0112353144754,15,2555080507599,999,12,514206383042,9,3538471741456,999,12,2246141765989,14,0122940243648,14,2763407102451,21,1346640424109,11,2597346974358,12,7881307480278,15,7523509608018,999,15,8596013576689,14,9745281179728,999,,
30,P18,14,4879403779702,999,999,999,999,999,999,13,3952718722082,9,31021135893904,17,7711239240507,16,9388975888459,999,13,9126042004625,999,17,0185054870317,15,2796349962334,999,15,5361311563827,12,763731888174,999,999,14,7061519426608,999,999,999,14,1866081248639,13,1598777758393,13,627746250532,999,9,78474483623933,999,11,2418659265245,13,8372048261288,999,999,9,76356596654671,999,999,15,9951798642297,13,5385377398781,999,11,855481720495,12,7243301971213,12,9868582831225,999,999,13,9047316521565,999,,
31,P5,999,999,11,6673780922162,15,7036201781503,999,10,9983614234588,999,14,0521936782615,12,9864725132565,19,4575140716342,999,999,999,999,999,999,999,14,7829298552364,12,9927286125057,999,999,999,999,999,999,999,16,708704572925,16,0951965895488,999,999,999,999,999,999,15,9747779610657,15,3184466001838,999,14,4410765439559,15,8597455818688,13,902582555455,999,999,16,9182049234109,999,22,5811078531906,999,18,448521503981,999,,
32,P5,13,7053115118554,999,10,4313967746424,13,5881161852866,999,8,77052654738445,999,13,0231468421883,11,8325977896899,999,999,999,999,999,999,999,999,15,5257345733599,11,6895823719981,16,8784530919923,999,999,999,999,999,999,14,4982132036185,15,8480907492277,999,22,1199624524688,999,999,999,999,11,9882041931742,12,1274975856561,999,14,3237420591289,14,6734203709929,12,6911032853454,999,13,1960547774535,12,6528885015814,999,21,4994213040858,999,13,9183039864436,999,,
33,P5,14,3608396232827,999,13,3702967286521,16,0914796938789,999,10,4474712987674,999,16,8360418486117,10,7529381648486,16,9061886172707,999,999,12,5392875499634,999,999,999,999,16,6196631572627,12,3088333519124,15,5730272015056,999,999,999,999,999,999,13,8878506482732,14,6848286971431,999,12,896800054148,999,999,14,1819358692057,999,12,7593160090282,9,21665272228467,999,14,0393188348657,13,0822123274929,15,2576771414775,999,13,1572838451945,12,627701132468,15,3386532769308,17,0924242686416,999,13,0420388469167,999,,
34,P18,14,0188211130555,999,999,999,999,999,15,6189744619041,14,6516151634065,9,43903965254568,14,2920712394895,15,8617535707148,14,832364327728,13,7032695988457,999,999,999,999,18,6210619150232,12,8293513939121,17,1693196093397,999,999,999,999,999,15,3617540989825,12,1998533215785,12,9815395751143,999,11,0934114886184,16,5586364817898,13,6849228748204,13,7948285762337,999,15,7085469521769,9,48528805028391,999,13,7056722145634,14,5209117599783,13,4818313844048,999,11,6304580857579,14,799693062966,15,2878143643861,999,999,14,7236831852006,999,,
35,P18,11,2791391835404,17,8278776108244,999,999,12,2748536438294,15,3311638058093,15,3159714726935,13,4929219978409,7,55944145210503,12,8383225634984,13,9459390340307,999,11,6543575433849,13,0734479144076,13,5844240386333,15,4249275667737,9,86813697632812,17,4892115309857,13,6665190267799,999,16,233008345772,999,999,999,999,13,2362293521577,13,5234278377244,12,2914394433612,14,4251815556747,999,16,318682792349,8,92828286387974,13,0511580859714,999,999,8,59289977502039,999,12,7896270043835,10,4989877566704,999,14,0722903822911,10,1844955619789,15,4743071282741,999,999,14,3122650579257,18,1940985551077,999,,
36,P18,14,1424909765848,999,999,999,999,15,8040837996376,999,14,8310005259691,9,09752713273335,14,8490586949832,14,3389147553148,999,12,0864406035749,15,7380715180725,999,999,999,14,8070269607634,13,278454516246,999,999,16,04473541393,999,999,999,14,4583095655392,12,3935754866363,12,8865855937611,999,11,8608609613762,999,14,8724119296012,15,4949565484065,999,15,340905089402,9,95609232873082,999,13,2403671806736,999,14,7455120942565,999,12,7271375839686,12,7513273666756,14,6954392486997,999,999,16,8182481036894,999,,
37,P5,14,543471023607,999,10,636538461627,13,4929936832221,999,10,8153374840643,999,14,5717174813917,10,9424824491648,23,3821807708932,999,999,999,999,999,999,999,17,3443862541217,14,0765274368852,17,1935267667838,999,999,999,999,999,15,2991808382375,15,4516706120492,999,999,13,7942174147087,999,999,13,6603581266328,999,13,6902616394675,10,6786753927784,999,13,2319471281876,13,3218946554682,999,999,15,0215680724302,13,5752666138387,999,20,0227266450389,999,14,2991835560303,999,,
38,P5,999,999,13,1459122548296,15,1899877666167,999,10,4797453473243,999,14,6634365273869,12,2183769496752,16,2953120571067,999,999,999,999,999,999,999,16,4599252106514,12,7199134800534,999,999,999,999,999,999,999,15,6671317781291,999,999,12,3030243087054,999,999,999,999,12,4015340760588,12,8022140657517,999,999,14,9953147826931,14,8433474740075,999,15,1647548744798,999,999,18,6993588558481,999,15,0522599797981,999,,
39,P5,14,4935206203383,999,14,3420764232294,14,4698943313815,999,8,52214189635628,999,15,109764632317,9,61362558042769,15,4580468403179,15,2424402421299,999,11,8406289348951,18,3211106770134,999,999,999,15,7114455521705,12,2642388122829,999,999,999,999,999,999,13,5934330314844,14,4296597338689,15,5913034126372,999,11,1496040177657,16,3259404977327,999,16,3626684346008,999,10,4063481590914,9,43061992388372,999,12,7032958123577,999,14,040572414524,999,12,2126960572961,14,4564044905463,999,999,999,14,8147894108088,999,,
40,P18,13,5936877606115,18,0226227640356,999,999,999,19,8712924013811,999,13,40146229569,9,29803300032916,15,2685439345473,14,7501540344054,23,4695223554862,12,7300039246059,999,999,999,999,15,0773817047843,14,2287554094159,999,999,999,999,999,999,14,4604202739759,11,5644950520774,12,6892620473135,999,12,6024096880642,999,11,0930472531116,13,2322468267056,999,999,9,20236710035615,999,12,6510781288124,15,7046144033125,14,7740921465528,999,13,1402865212942,14,3907899438074,13,2755367901881,999,999,13,1569648598261,17,2551881798709,,
41,P18,12,9959157547657,999,999,999,15,4699115523858,24,6325750221576,999,12,3213238108213,8,87135890809727,14,838957157613,13,594559689991,999,11,958645056261,16,2878727328575,999,999,999,14,1764985226233,13,1016050288349,14,8006536752513,999,16,275526286126,999,999,999,13,466319108868,11,31263985982,11,181655111824,15,691289135928,9,9219523902802,16,2730744942656,15,9010118812874,13,6670605300804,999,14,948468048749,8,0177674623711,999,14,4350042752596,17,7376047008738,13,8753128795932,999,11,370799774246,11,1426427914489,999,999,14,1267198334994,12,8387211731009,999,,
42,P18,11,0002802554526,999,999,999,14,1243906725189,22,9820661204059,17,412668009542,13,1884062724108,7,26814916623341,13,8579534755409,15,2603657356711,19,1244926595339,12,1633179671814,13,0012761384757,12,4947381870499,999,9,65947277758756,16,8760807616293,13,2585847411782,999,26,1452175945419,999,999,999,999,14,1648622690883,12,0758467164593,10,8140803732425,14,9897714423402,999,13,7212299344865,6,33029647521923,15,0622672739835,999,999,7,93785117268805,999,10,5905465915872,10,897164747074,999,999,9,56455849699776,999,999,999,999,999,999,,
43,NTC,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,,
44,NTC,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,,
45,P5 10,12,1796595590313,999,7,89742927758461,11,8465864505339,999,7,63319460761025,999,11,4078386347679,8,63369696697643,15,500615739105,14,2188959056938,999,12,5292110581036,999,999,999,999,13,1519893938407,9,6668119671776,14,4196552236405,999,999,999,999,999,14,2834127261885,11,3878492821349,12,3716619613178,999,10,2867444715151,999,999,12,8060893011666,999,9,82422295678667,8,37616905735506,999,10,9960419523476,10,6770019744924,11,7628537586737,999,10,9803665489581,11,8511159318894,999,15,6469305616754,999,10,9634815030951,999,,
46,P18 10,10,172871105129,999,11,226018155814,16,7338015298976,13,3739296580232,21,1438130006541,16,6725115025905,11,1562968881937,6,26013597650738,11,8340662500882,11,8427209864458,14,6244320800972,9,58351020375166,14,5400248469836,13,4960431179863,999,14,3980042189046,12,1220873859254,10,3565727341923,14,2800771018604,999,12,7491830599348,999,999,999,11,6138721090362,9,6724341576557,9,86445121244362,13,2782421850288,7,30803183323431,14,1383382367843,9,11791858899507,10,8343731200221,999,14,162678124365,6,65072290701839,999,11,1966911177434,9,60090066866461,10,8479282877695,15,3441366527251,8,93651375264596,10,9498589265728,13,9216134277381,999,12,7321229447558,10,7123323928395,999,,
47,P8 10,9,52109288065222,16,8467392415116,999,999,9,04289632371002,17,2530664844079,12,7082809212629,17,0189098941978,5,71451833298381,10,9364431900832,11,1760091592967,999,10,3215273591516,11,4866524929678,999,14,0485877185726,8,17913885173909,18,2340214797999,11,0709485470555,999,16,595251184469,14,7644682527454,15,7399352149045,12,6975256592481,999,11,5531188371822,11,4107268367386,13,5970554052714,13,1256006868679,999,14,1335668244318,13,2926350153217,12,5687957797856,999,999,7,4322262672802,999,9,68694451905285,8,69007625270135,999,10,9436407884869,9,44121603794186,13,7612853753851,14,246430828487,999,999,20,3441138208965,18,2719364765018,,
48,P6 10,10,3032679987146,12,0857956270366,10,1370999661062,16,4662375257028,11,5979666743551,18,1532381403358,12,2207766705137,14,9401084084108,6,24871187951428,11,3745708309125,12,1414850154967,13,987384396323,10,5604280374796,13,1465175266113,15,7130010125062,11,7283773164847,9,14094006337786,18,3019541080326,10,7684855276826,16,2162309045073,999,14,2908535468729,999,15,2064818119416,12,8212092891957,12,4346394319625,10,6096152785435,11,1481071564553,11,8377251014175,12,2605753213305,13,2536191623473,13,093772087256,11,2838859128893,999,999,7,65531959066806,999,10,5034997388482,7,65389711867235,999,11,5954284204324,8,09444112572487,9,48478409194045,14,9193721131234,999,11,6696760207843,13,8233602532698,999,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Quality Results
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,
,,Tel,CCR9,CD10,CD19,Hmg2a,CD24,CD33,CD38,RPS18,IGF2BP2,CD62L (SELL),CD7,Igf2Bp1,ckit,CSF-1 R,CSF2ra,CSF-3 R,Cxcr4,E2a (TCF-3),Ebf1,EpoR,Flt3,GATA-1,Gata3,Hes1,HPRT,Ikaros,Il2rg,IL3RA,IL7r,Lin 28b,MPO,Notch1,IgM,PAX5,Gapdh,Pre-T?,PU.1,Cd34,Rag 2,mpl,Runx1,sterile Igh,Tcf7 ,Tdt,Tslpr (crlf2),VpreB,vWf,,
01,P5,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,,
02,P5,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Fail,,
03,P5,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,,
