FAM-MGB Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,bActin,Gapdh,HPRT1,UBC,TBP,YWHAZ,Tubb3,MAPT,NeuroD1,Sox1,FoxG1,Pax6,Tbr2,Emx2,Sp8,Sox5,Cux2,Bhlhb5,Lmo4,Emx1,Couptf1,Cux1,Satb2,Fezf2,Otx1,Ctip2,Tbr1,Brn2,Myt1l,Ascl1,Ngn2,vGlut1,vGlut2,GAD1,GFAP,Col1a1,LINE1 5UTR,LINE1 ORF1,WPRE,Albumin,NTC1,NTC2,NTC3,NTC4,NTC5,NTC6,NTC7,NTC8
8,BMNgn2_2,999,7.432567303,999,9.532187371,25.86273106,10.1519455,11.82606496,999,999,999,999,999,999,999,999,16.25060479,999,999,13.29556497,999,11.38431288,12.05904927,999,999,999,999,999,999,999,999,999,999,999,999,999,12.9753677,12.14697317,9.5361916,7.856535924,999,999,999,999,999,999,999,999,999
14,BMNgn2_3,999,6.197483384,13.19354106,9.743596017,999,9.457180366,12.5361463,999,15.71079761,16.3014044,19.63791954,999,999,999,14.30600365,15.11727365,999,14.5453067,12.59689292,999,11.92677434,11.9082289,999,999,999,999,999,16.49755641,999,999,19.47384862,999,999,999,999,7.217584443,6.638054988,4.654404441,8.915753594,14.00190593,999,999,999,999,999,999,999,999
20,BMNgn2_4,28.70939096,6.905875858,14.96437475,9.017650039,15.86119689,8.84542316,9.205304417,14.03951347,27.99140292,32.23873471,13.65161333,29.16277532,28.99732811,29.55921678,32.07097296,27.80655378,28.64390199,14.44452492,12.39668165,28.51683414,12.15979489,11.30755723,28.2882779,26.48028995,16.73345718,26.26763765,29.92731274,28.00742999,25.38355962,26.60117573,26.08772913,27.79163579,25.82212457,26.58949743,25.97952909,12.28783541,10.59219639,7.394389505,8.148027849,24.82183598,34.58205667,25.67212523,23.5962299,22.97988267,21.89342967,20.19564946,18.60792962,18.74686229
26,BMNgn2_5,999,7.89245412,16.89621152,8.992844125,14.77402213,8.7947619,8.017229861,10.96601527,10.82793641,999,999,999,999,999,999,15.01650788,999,999,12.57968448,999,12.85294592,13.01783853,999,999,999,15.17837075,999,999,999,999,999,20.75614216,999,999,999,12.60709172,9.526671435,6.207570644,7.209365832,999,999,999,999,999,999,999,999,999
32,BMNgn2_6,24.73522405,7.883930695,15.36603375,10.00781106,14.17988937,10.81328165,11.50273127,22.38949876,16.29735298,15.3899718,26.70884199,26.88367563,25.71537841,26.04281647,14.79358949,15.06946774,26.04712378,15.12614157,12.49684678,25.99724552,27.7752946,12.34367632,19.14859713,25.8056678,29.69129761,25.62189496,26.40336195,15.23996414,26.77204008,29.13126838,22.45414039,29.21374907,26.96270144,14.03201345,28.3981905,12.37028479,6.556003894,4.500837499,8.161520003,14.92288859,27.26547153,999,999,999,999,999,999,999
38,BMNgn2_7,999,7.923824204,14.58990219,9.017467079,999,9.300744063,11.91727508,999,999,999,999,999,999,999,999,999,999,999,12.42782495,999,11.99513583,11.12009783,999,999,999,999,999,999,999,999,999,999,999,999,999,6.579927755,12.08912255,8.267867303,8.686222992,999,999,999,999,999,999,999,999,999
44,BMNgn2_8,10.89430835,6.423851983,10.34740449,7.391713098,11.09610958,8.080921766,7.353131009,10.96852425,10.83562062,12.67704891,10.1095625,12.52939659,12.50687442,12.71014265,13.23903166,13.08144861,12.59192722,7.355701073,9.743483967,12.458761,12.49859632,11.04456919,12.87157642,12.97265735,12.69927678,12.47098005,12.92710961,12.77192293,12.59168824,12.75093806,13.20934399,11.90408923,13.45416754,12.81214535,13.03758193,9.530617915,8.004408212,6.747913049,5.406322777,12.96730909,14.06315503,13.66398314,13.70462019,13.92631348,13.93080081,13.82354373,14.49935386,13.97900957
3,MNgn2_1,24.67671339,6.796087049,16.59443583,8.935213244,14.231797,8.601207899,19.46729529,23.44577969,14.69058606,15.84343974,14.04795764,23.94305153,23.83812153,24.43184962,14.160336,13.64169502,21.67300487,14.65479276,11.59805323,25.64296701,11.48041019,10.33223108,15.54153966,24.0366712,26.46791215,24.24159383,24.57050291,14.86422096,25.21418723,26.71605156,18.19404128,28.43670186,23.31250526,25.01986682,25.86838239,7.17228861,6.086973285,4.547918627,11.47228348,12.33861922,19.79291745,24.33162644,24.44955695,24.63835372,23.17554347,19.72853914,18.7163614,19.77056047
9,MNgn2_2,30.45897955,6.972074505,999,9.636618816,24.45003298,10.24289733,14.65012489,999,14.43693054,16.65840102,14.86400131,999,999,999,14.92639388,15.38162056,33.52941361,14.15518429,12.69685951,999,12.34732391,11.95943395,16.89704613,999,999,999,999,14.71697279,999,999,999,999,999,999,999,6.718624251,6.70620369,4.592685906,10.55541219,13.24526099,999,999,999,999,999,999,999,999
15,MNgn2_3,51.25856044,8.56570941,999,10.26841723,999,10.71256878,15.2373742,999,14.69942825,999,17.14164251,999,999,999,14.70978179,14.15590799,999,17.01157003,11.85990803,999,10.89401038,11.97759808,999,43.59855512,999,999,999,17.87151484,999,999,999,999,999,999,999,7.458847324,6.64463874,4.563205691,10.07397735,13.71315769,999,999,999,999,999,999,999,999
