Chip Run Info,D:\PCR DATA\Goran\01072014 HSC ss5 MS\ChipRun.bml,1361898495,96.96 (136x),GE 96x96 Standard v2,ROX,FAM-MGB,7/1/2014 5:04:21 PM,01:31:10,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.6
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,Comments
S96-A64,noRT,Reference,1,,CD48,Test,ref,999,0,Fail,0.011165875493998,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A63,noRT,Reference,1,,CD243,Test,ref,999,0,Fail,0.0143776782048589,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A62,noRT,Reference,1,,CD13,Test,ref,999,0,Fail,0.0106337688185634,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A61,noRT,Reference,1,,CCNC,Test,ref,999,0,Fail,0.0131207306365164,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A72,noRT,Reference,1,,TAL1,Test,ref,999,0,Fail,0.0105145637107563,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A71,noRT,Reference,1,,MPO,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A70,noRT,Reference,1,,IL7R,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A69,noRT,Reference,1,,HMGA2,Test,ref,999,0,Fail,0.011342936222251,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A68,noRT,Reference,1,,FLI1,Test,ref,999,0,Fail,0.00577758540573219,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A67,noRT,Reference,1,,CEACAM5,Test,ref,999,0,Fail,0.1,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A78,noRT,Reference,1,,CDKN1B,Test,ref,999,0,Fail,0.00779516202939579,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A77,noRT,Reference,1,,CD71,Test,ref,999,0,Fail,0.014061906373137,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A76,noRT,Reference,1,,CD49e,Test,ref,999,0,Fail,0.011205159218408,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A75,noRT,Reference,1,,CD244,Test,ref,999,0,Fail,0.0133227052026465,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A74,noRT,Reference,1,,CD15,Test,ref,999,0,Fail,0.0103571401368519,999,0,Fail,999,0,Fail,999,-1,0,Fail,
S96-A73,noRT,Reference,1,,CCND1,Test,ref,999,0,Fail,0.0081677341556075,999,0,Fail,999,0,Fail,999,-1,0,Fail,
