Chip Run Info,C:\Users\eva\Documents\PCR\Result\KJP\140506EES humsc y112\ChipRun.bml,1131292161,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-05-06 17:25:48,00:30:20,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A32,Y112A3,Unknown,1,NFE2,Test,16.589716084684,1,Pass,0.0103622541840018,84.9515084928498,999,1,
S03-A33,Y112A3,Unknown,1,CSF2RB,Test,22.8812864432344,0,Fail,0.0103622541840018,999,77.6669935718087,0,
S03-A34,Y112A3,Unknown,1,CR1,Test,16.6219453141852,1,Pass,0.0103622541840018,83.4464485397363,999,1,
S03-A35,Y112A3,Unknown,1,HIST1H3A,Test,14.3404556425371,1,Pass,0.0103622541840018,85.1131886432466,999,1,
S03-A36,Y112A3,Unknown,1,Hsp-90,Test,11.9728461403655,1,Pass,0.0103622541840018,79.7421672532779,999,1,
S03-A37,Y112A3,Unknown,1,GFI1B,Test,26.0723468333486,0,Fail,0.0103622541840018,999,999,0,
S03-A38,Y112A3,Unknown,1,SPI1,Test,14.7093965677996,1,Pass,0.0103622541840018,83.894198805032,999,1,
S03-A39,Y112A3,Unknown,1,IL7R,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A40,Y112A3,Unknown,1,CD22,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A41,Y112A3,Unknown,1,ABO,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A42,Y112A3,Unknown,1,actin,Test,9.72382332650295,1,Pass,0.0103622541840018,83.5690685167308,999,1,
S03-A43,Y112A3,Unknown,1,HHEX,Test,14.9263045903234,1,Pass,0.0103622541840018,80.6570439336227,999,1,
S03-A44,Y112A3,Unknown,1,RUNX1,Test,13.35522812012,1,Pass,0.0103622541840018,83.1991349384496,999,1,
S03-A45,Y112A3,Unknown,1,ID2,Test,20.3433558042685,1,Pass,0.0103622541840018,80.7514772400416,999,1,
S03-A46,Y112A3,Unknown,1,CST7,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A47,Y112A3,Unknown,1, IL13RA1,Test,999,0,Fail,0.0103622541840018,999,999,0,
S03-A48,Y112A3,Unknown,1,CD34,Test,13.6565534214472,1,Pass,0.0103622541840018,85.9854648288286,999,1,
S47-A01,Y112H5,Unknown,1,ERG,Test,12.1587139572651,1,Pass,0.0103622541840018,84.8717891527299,999,1,
S47-A02,Y112H5,Unknown,1,LDB1,Test,16.5890660523991,1,Pass,0.0103622541840018,82.9221873326899,999,1,
S47-A03,Y112H5,Unknown,1,TAL1,Test,999,0,Fail,0.0103622541840018,999,999,0,
S47-A04,Y112H5,Unknown,1,SIGLEC5,Test,999,0,Fail,0.0103622541840018,999,999,0,
S47-A05,Y112H5,Unknown,1,KLF4,Test,999,0,Fail,0.0103622541840018,999,999,0,
S47-A06,Y112H5,Unknown,1,HOXA4,Test,15.8632201057142,1,Pass,0.0103622541840018,85.3291130915867,999,1,
S47-A07,Y112H5,Unknown,1,CBFA2T3,Test,17.1528218318584,1,Pass,0.0103622541840018,80.9267561377969,999,1,
S47-A08,Y112H5,Unknown,1,LMO2,Test,13.2570708740524,1,Pass,0.0103622541840018,84.8536800780523,999,1,
S47-A09,Y112H5,Unknown,1,ETV6,Test,12.1427685471179,1,Pass,0.0103622541840018,81.1791446367843,999,1,
