Chip Run Info,C:\Users\eva\Documents\PCR\Result\DB\Amol\Amol sc index sort (wt)\Index sort Plate-1 Amol\ChipRun.bml,1131292164,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,2014-04-01 13:23:28,00:31:24,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A23,A9,Unknown,1,Mpl,Test,12.3153510593649,1,Pass,0.0120476876168541,84.8707334185812,999,1,
S03-A24,A9,Unknown,1,Sox4,Test,16.3407875795769,1,Pass,0.0120476876168541,83.8832931147682,999,1,
S03-A25,A9,Unknown,1,Cd48,Test,12.8369572253998,1,Pass,0.0120476876168541,80.8988946448269,64.7412441286051,0.864880098395581,
S03-A26,A9,Unknown,1,Egr1,Test,17.5945338427535,0,Fail,0.0120476876168541,999,76.6980690270509,0,
S03-A27,A9,Unknown,1,Hlf,Test,13.5283886628577,1,Pass,0.0120476876168541,80.1364675657152,999,1,
S03-A28,A9,Unknown,1,Il7r,Test,19.2051555562816,0,Fail,0.0120476876168541,999,70.9394961326504,0,
S03-A29,A9,Unknown,1,Myb,Test,11.9009096695029,1,Pass,0.0120476876168541,81.1826009546542,999,1,
S03-A30,A9,Unknown,1,Tal1,Test,13.5023838413813,1,Pass,0.0120476876168541,84.2786242989091,999,1,
S03-A31,A9,Unknown,1,Cebpa,Test,15.3573605912295,1,Pass,0.0120476876168541,77.9622695768234,999,1,
S03-A32,A9,Unknown,1,Ezh2,Test,12.8682949208363,1,Pass,0.0120476876168541,76.075363791923,999,1,
