EvaGreen Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,ERG,LDB1,TAL1,SIGLEC5,KLF4,HOXA4,CBFA2T3,LMO2,ETV6,FN3K,KLF11,ITGA2B7,FLI1,LYL1,CLNK,PAX5,CEACAM1-2,ITGA2B4,GATA1,MEIS1,LCK,CSF1R,ANXA2,AREG,GATA2,MITF,PLEK,PLOD3,JUN,FIGN,GFI1,NFE2,CSF2RB,CR1,HIST1H3A,Hsp-90,GFI1B,SPI1,IL7R,CD22,ABO,actin,HHEX,RUNX1,ID2,CST7, IL13RA1,CD34
22,Y112D4,12.84396725,13.59374162,14.78543745,999,16.55035457,21.2744428,14.2262244,12.79967473,11.51499711,999,999,999,12.0683301,13.60520956,999,999,999,999,999,14.40610477,999,999,999,14.76142072,14.5816066,999,12.80784879,999,13.25376575,24.432456,20.25651156,11.96236358,20.79683284,999,12.77369777,14.3344492,14.4007221,12.6680607,999,999,15.52301398,10.49133512,13.65434613,13.00557301,999,999,999,12.38785535
23,Y112D5,12.43682474,12.78710213,15.04207474,17.22805519,15.47813604,20.13757803,16.45121242,12.86528352,13.65978749,999,999,999,13.42452832,20.30865055,999,999,999,25.25538683,999,13.89955804,999,21.01730178,17.45452417,15.23664835,14.52964682,999,15.3070907,999,15.84245348,999,999,13.32247234,16.86626546,16.0280171,13.63321995,12.89083975,999,14.95284057,999,999,999,10.30329895,16.15801372,14.61949236,999,999,999,13.34979939
24,Y112D6,13.27511853,15.40759106,17.30410164,16.20698358,15.14186462,15.72831762,16.22042086,13.38734523,12.17904324,16.61462697,999,999,15.80009017,16.20316297,27.73309156,999,999,16.39532641,999,15.55957848,999,999,999,999,14.68988139,999,15.33551825,999,15.80946026,22.19659714,16.74683289,12.62007925,15.81691011,15.93585363,14.15422822,13.4702085,27.72167564,14.11578176,999,999,15.21955696,10.36354208,16.2302432,16.50500941,20.59155984,999,999,13.85849145
25,Y112E1,12.18065963,15.64347258,16.44533642,999,999,16.43753435,17.18719132,12.60916438,11.70250586,999,999,999,12.50460284,999,24.56705339,999,999,999,999,16.15986241,999,999,17.2184621,999,16.23109413,999,15.55333695,999,999,999,999,11.88796058,23.09588064,15.23475253,13.14495481,12.80173486,13.61463654,999,999,999,14.7977949,9.624009388,15.13487363,13.22376835,999,999,17.07792724,13.08917395
26,Y112E2,12.88769416,12.84263295,22.53407856,999,20.42050459,14.59889218,15.62921785,12.24113952,12.03303307,999,22.89466336,999,14.12154342,14.04679709,999,999,16.16725315,999,999,17.34106135,999,999,999,15.26638953,13.69365214,999,15.35802227,999,12.40743973,17.16027561,15.69297865,13.29551187,20.59770567,999,13.26360113,12.72261225,999,14.25778617,999,999,14.43095127,9.658117275,13.50530856,12.86474083,999,999,999,11.89975785
27,Y112E3,12.86174098,15.43202007,15.19051505,999,15.31593887,21.0035022,16.93387204,12.95307138,13.24742013,14.78403858,999,999,13.19719211,999,999,999,999,999,999,14.69706619,999,999,16.31378316,12.72761631,14.82141293,999,999,999,11.37271595,16.67668052,28.74352103,14.73927082,22.37798402,23.54052125,12.95058782,13.21297091,999,15.99050493,999,999,16.34459031,11.99292311,14.46825118,15.60316507,999,999,999,14.08008201
28,Y112E4,12.28918793,13.38551728,999,999,16.66254386,20.21946369,17.13560386,12.61007651,12.63999398,16.14540417,999,999,12.46943835,15.28435235,999,999,999,999,999,13.22548441,999,24.87064043,999,14.70117327,16.12342975,999,14.06706352,999,13.09193866,16.00537174,999,12.73443086,18.97733607,999,12.79678738,12.45777212,15.06230185,15.72215904,999,999,999,10.01850645,13.31249175,13.38563139,999,999,999,15.23000933
29,Y112E5,12.89313669,14.68763711,999,16.16193716,15.96374115,20.28205002,999,13.37581149,13.68838313,17.35142548,999,999,999,14.94088498,24.87372969,999,999,25.00746166,21.07907576,14.98834024,999,999,23.81583693,14.20159726,999,999,19.01730486,999,14.16064257,16.71279753,26.02201343,13.0412698,16.12488978,14.22611241,19.38121185,13.41611021,14.94670961,15.01580497,999,16.82229684,999,11.32548399,15.85385863,13.54296278,17.14203318,999,999,12.89582089
30,Y112E6,13.11752987,14.65318913,15.98312437,999,15.75903561,16.4923661,15.01796171,13.20273485,13.25003117,16.12291781,999,999,12.76541751,15.56481341,999,999,16.04956412,999,999,13.55086231,999,999,999,15.32095393,15.2737373,999,15.86579791,999,12.25862202,999,18.58760431,12.53967273,17.12031412,16.79276983,14.85488636,15.78723128,17.3210185,13.53323881,999,999,15.32038828,9.451872966,16.15276954,13.32643589,13.29964945,999,999,12.03007039
31,Y112F1,12.50693565,14.10453177,14.94053369,999,999,21.05149339,15.60766877,12.63789136,12.11707117,999,999,999,13.79564085,999,999,999,999,999,999,14.25551142,999,22.63180227,999,11.79615212,13.47732612,999,15.69306487,26.11118454,15.91742747,19.76689797,17.38314656,12.91859318,23.98555566,16.04428144,11.92654524,12.83399242,999,999,999,999,15.35906957,10.37157125,13.98994489,13.32108589,999,999,16.0757516,12.97049706
