"Bmi1" "Byglycan" "Cbx4" "Ccna2" "Ccnb2" "Ccnd1" "Ccne1" "Ccnf1" "Ccng1" "Cd150" "Cd34" "Cd48" "Cited2" "Epor" "Esam1" "Flt3" "Gata1" "Gata2" "Gfi1" "Hoxa5" "Ikzf1" "Mpl" "Mpo" "Pbx1" "Procr" "Rbl1" "Rbl2" "Runx1" "S100a6" "Tal1" "Tie1" "control" "control.1" "control.2" "ki67" "p16" "p19" "p21" "p27"
"sc_21.P0" -26.0183684793054 -26.0183684793054 -5.7246120169622 -26.0183684793054 -26.0183684793054 -3.7719612923665 -26.0183684793054 -26.0183684793054 -7.8562045235427 -0.959972141303899 -1.832291539892 -26.0183684793054 -0.9195229259578 -26.0183684793054 -26.0183684793054 -13.673374550911 -26.0183684793054 -3.3565061611569 -26.0183684793054 -26.0183684793054 -26.0183684793054 -2.8395109581045 -26.0183684793054 -26.0183684793054 -26.0183684793054 -5.3364090182814 -26.0183684793054 -26.0183684793054 -26.0183684793054 -26.0183684793054 -26.0183684793054 0 -2.0814499358576 -0.133253236542 -3.094984384212 -26.0183684793054 -3.0130540317371 -26.0183684793054 -3.171487709697
"sc_20.P0" -26.4529353210661 -26.4529353210661 -26.4529353210661 -5.9504103021774 -26.4529353210661 -3.782755098689 -26.4529353210661 -26.4529353210661 -4.5807122861424 -26.4529353210661 -2.5740378424865 -1.3809841479961 -1.7321720174112 -26.4529353210661 -26.4529353210661 -20.3207939815915 -26.4529353210661 -26.4529353210661 -26.4529353210661 -26.4529353210661 -5.4074942655661 -26.4529353210661 -26.4529353210661 -4.2906680951604 -26.4529353210661 -8.5435510761691 -4.9268020726931 -26.4529353210661 -26.4529353210661 -4.2696687544395 -3.8344117112201 -0.197784806608899 -1.8476380097321 0 -26.4529353210661 -26.4529353210661 -4.6073633456312 -26.4529353210661 -26.4529353210661
"sc_17.P0" -27.237095208202 -5.2422058319576 -27.237095208202 -27.237095208202 -27.237095208202 -5.640713364282 -27.237095208202 -27.237095208202 -5.2758525604902 -3.3860433388838 -3.7855225975917 -5.2264450338278 -2.6327423734742 -27.237095208202 -4.9272212362286 -27.237095208202 -3.0067006383674 -5.4962938369139 -27.237095208202 -27.237095208202 -5.4934804703993 -2.9489250406006 -27.237095208202 -3.2463887644697 -27.237095208202 -5.3473134367413 -5.5050490493386 -5.5515389935302 -27.237095208202 -4.4059715123428 -4.4667820951027 0 -3.8750953750176 -1.8069133560533 -3.2627470879988 -27.237095208202 -27.237095208202 -27.237095208202 -3.9756161057157
"sc_19.P0" -9.16514136789985 -31.5387697885939 -31.5387697885939 -7.26933266408335 -8.09718887646585 -8.70664821037375 -10.8742915080256 -7.06931840703095 -7.50620102324265 -31.5387697885939 -6.70239762496215 -6.20697561592235 -6.17960271182725 -31.5387697885939 -31.5387697885939 -31.5387697885939 -31.5387697885939 -31.5387697885939 -8.29713630974565 -31.5387697885939 -31.5387697885939 -31.5387697885939 0 -9.79085443365085 -31.5387697885939 -8.93559516054085 -10.6084682258855 -31.5387697885939 -31.5387697885939 -31.5387697885939 -31.5387697885939 -3.17063000323595 -4.86422997145885 -3.21696337785555 -6.29767947215105 -31.5387697885939 -8.71871854421645 -11.3933537769857 -8.20573589854335
"sc_16.P0" -26.404623380672 -26.404623380672 -26.404623380672 -5.6744240123852 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -5.3853463875755 -3.7692408749401 -3.3799537793155 -3.780686456445 -1.4899907719792 -26.404623380672 -26.404623380672 -26.404623380672 -3.5959974407003 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -0.557560953947499 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -26.404623380672 -4.000428792062 -26.404623380672 0 -1.7240644807316 -2.2494599166582 -26.404623380672 -26.404623380672 -18.0709911046851 -3.9930944141075 -3.8487076812088
"sc_41.P1" -26.8065739022286 -3.9704672260112 -26.8065739022286 -26.8065739022286 -26.8065739022286 -5.156845773988 -26.8065739022286 -26.8065739022286 -5.9687404320795 -26.8065739022286 -5.735324416305 -26.8065739022286 -4.5762709763343 -26.8065739022286 -5.9175847239326 -26.8065739022286 -26.8065739022286 -26.8065739022286 -26.8065739022286 -26.8065739022286 -6.0827703291805 -3.3742135743557 -26.8065739022286 -4.4397798998822 -26.8065739022286 -26.8065739022286 -26.8065739022286 -26.8065739022286 -6.0495063368691 -26.8065739022286 -5.5595313228938 -0.5127004305716 -3.2082617535614 0 -26.8065739022286 -4.6906556089564 -3.8616130844965 -26.8065739022286 -26.8065739022286
"sc_40.P1" -5.8206747262009 -4.3553715758246 -26.8647516199013 -26.8647516199013 -26.8647516199013 -4.9014123525087 -26.8647516199013 -26.8647516199013 -5.1065973457363 -26.8647516199013 -5.1455695670346 -26.8647516199013 -2.5027570556282 -26.8647516199013 -26.8647516199013 -22.9009903956654 -26.8647516199013 -26.8647516199013 -10.0949549595777 -26.8647516199013 -26.8647516199013 -2.7832357245635 -26.8647516199013 -3.6135936700039 -11.6060888470575 -8.7608507045092 -26.8647516199013 -26.8647516199013 -26.8647516199013 -7.763420324981 -26.8647516199013 -0.75696801484 -4.1293283949929 0 -26.8647516199013 -26.8647516199013 -4.7820130066276 -26.8647516199013 -4.5655404455346
"sc_39.P1" -25.2677153766106 -25.2677153766106 -5.6634123359178 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -1.7069486565326 -25.2677153766106 -5.8817378546867 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -25.2677153766106 -10.1654215930814 -25.2677153766106 -4.1300374105121 -3.3379678418021 -3.8475412981604 -25.2677153766106 -3.1399425804841 0 -3.3382099357426 -1.247443636389 -25.2677153766106 -3.0396879002758 -25.2677153766106 -25.2677153766106 -2.9672067009036
"sc_38.P1" -5.3381039649343 -6.2119758335023 -26.7434678822218 -26.7434678822218 -26.7434678822218 -4.518238806794 -26.7434678822218 -26.7434678822218 -5.1283252153312 -26.7434678822218 -5.6885914970093 -26.7434678822218 -26.7434678822218 -3.7134031490031 -26.7434678822218 -26.7434678822218 -26.7434678822218 -26.7434678822218 -26.7434678822218 -26.7434678822218 -26.7434678822218 -1.8043861775192 -26.7434678822218 -26.7434678822218 -12.2351866150729 -26.7434678822218 -5.5713984402145 -26.7434678822218 -26.7434678822218 -26.7434678822218 -6.2102749609812 -0.801310736209601 -2.9709567784208 0 -26.7434678822218 -26.7434678822218 -4.6993494301289 -26.7434678822218 -13.2198214643133
"sc_37.P1" -25.792815457187 -2.6152593253367 -25.792815457187 -25.792815457187 -25.792815457187 -3.6933579406749 -25.792815457187 -25.792815457187 -5.3206814330522 -25.792815457187 -4.9309454015797 -25.792815457187 -1.7224240767745 -25.792815457187 -5.1380559885988 -19.0568990878815 -25.792815457187 -25.792815457187 -25.792815457187 -25.792815457187 -25.792815457187 -2.6428459229547 -25.792815457187 -3.382990613969 -8.0316733720919 -25.792815457187 -25.792815457187 -25.792815457187 -3.9893013921661 -25.792815457187 -5.1808008659752 0 -4.2125164556938 -0.458726494607701 -25.792815457187 -25.792815457187 -3.1055792934296 -25.792815457187 -3.586344140863
