Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_006
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:09

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
H2,1,100.0,"94,793","94,793","94,793","94,793","94,793",,0,,0.0,"94,720","115,570","115,570","115,570","115,570","115,570",,0,,0.0,"115,456","53,754","53,754","53,754","53,754","53,754",,0,,0.0,"53,504","34,244","34,244","34,244","34,244","34,244",,0,,0.0,"34,048","104,281","104,281","104,281","104,281","104,281",,0,,0.0,"104,192","21,521","21,521","21,521","21,521","21,521",,0,,0.0,"21,504","9,086","9,086","9,086","9,086","9,086",,0,,0.0,"9,050",-667,-667,,-667,-667,,0,,0.0,1,"-1,093","-1,093",,"-1,093","-1,093",,0,,0.0,1,96,96,96,96,96,,0,,0.0,95,"6,138","6,138","6,138","6,138","6,138",,0,,0.0,"6,126",-757,-757,,-757,-757,,0,,0.0,1,"39,741","39,741","39,741","39,741","39,741",,0,,0.0,"39,587",-689,-689,,-689,-689,,0,,0.0,1,"-1,437","-1,437",,"-1,437","-1,437",,0,,0.0,1,"14,810","14,810","14,810","14,810","14,810",,0,,0.0,"14,592"
H3,1,100.0,"109,620","109,620","109,620","109,620","109,620",,0,,0.0,"109,568","124,742","124,742","124,742","124,742","124,742",,0,,0.0,"124,672","57,591","57,591","57,591","57,591","57,591",,0,,0.0,"57,344","38,218","38,218","38,218","38,218","38,218",,0,,0.0,"38,144","112,056","112,056","112,056","112,056","112,056",,0,,0.0,"111,872","22,352","22,352","22,352","22,352","22,352",,0,,0.0,"22,272","14,727","14,727","14,727","14,727","14,727",,0,,0.0,"14,562","-1,250","-1,250",,"-1,250","-1,250",,0,,0.0,1,"-1,471","-1,471",,"-1,471","-1,471",,0,,0.0,1,372,372,372,372,372,,0,,0.0,371,"9,167","9,167","9,167","9,167","9,167",,0,,0.0,"9,161","-1,201","-1,201",,"-1,201","-1,201",,0,,0.0,1,"50,401","50,401","50,401","50,401","50,401",,0,,0.0,"49,910","-1,375","-1,375",,"-1,375","-1,375",,0,,0.0,1,"1,645","1,645","1,645","1,645","1,645",,0,,0.0,"1,641","14,544","14,544","14,544","14,544","14,544",,0,,0.0,"14,336"
H4,1,100.0,"110,832","110,832","110,832","110,832","110,832",,0,,0.0,"110,592","131,685","131,685","131,685","131,685","131,685",,0,,0.0,"131,584","55,158","55,158","55,158","55,158","55,158",,0,,0.0,"55,040","40,025","40,025","40,025","40,025","40,025",,0,,0.0,"39,936","113,889","113,889","113,889","113,889","113,889",,0,,0.0,"113,664","23,032","23,032","23,032","23,032","23,032",,0,,0.0,"22,784","8,869","8,869","8,869","8,869","8,869",,0,,0.0,"8,832",-719,-719,,-719,-719,,0,,0.0,1,-918,-918,,-918,-918,,0,,0.0,1,818,818,818,818,818,,0,,0.0,809,"19,575","19,575","19,575","19,575","19,575",,0,,0.0,"19,514",-157,-157,,-157,-157,,0,,0.0,1,"63,339","63,339","63,339","63,339","63,339",,0,,0.0,"62,925",-596,-596,,-596,-596,,0,,0.0,1,"7,943","7,943","7,943","7,943","7,943",,0,,0.0,"7,914","14,032","14,032","14,032","14,032","14,032",,0,,0.0,"13,824"
H5,1,100.0,"81,134","81,134","81,134","81,134","81,134",,0,,0.0,"80,896","107,737","107,737","107,737","107,737","107,737",,0,,0.0,"107,520","49,354","49,354","49,354","49,354","49,354",,0,,0.0,"49,152","27,877","27,877","27,877","27,877","27,877",,0,,0.0,"27,648","93,767","93,767","93,767","93,767","93,767",,0,,0.0,"93,696","19,484","19,484","19,484","19,484","19,484",,0,,0.0,"19,456","4,142","4,142","4,142","4,142","4,142",,0,,0.0,"4,096",-327,-327,,-327,-327,,0,,0.0,1,-531,-531,,-531,-531,,0,,0.0,1,300,300,300,300,300,,0,,0.0,298,"6,988","6,988","6,988","6,988","6,988",,0,,0.0,"6,920","1,080","1,080","1,080","1,080","1,080",,0,,0.0,"1,071","34,168","34,168","34,168","34,168","34,168",,0,,0.0,"33,782",-281,-281,,-281,-281,,0,,0.0,1,526,526,526,526,526,,0,,0.0,521,"13,776","13,776","13,776","13,776","13,776",,0,,0.0,"13,568"
H6,1,100.0,"107,371","107,371","107,371","107,371","107,371",,0,,0.0,"107,264","125,796","125,796","125,796","125,796","125,796",,0,,0.0,"125,696","55,937","55,937","55,937","55,937","55,937",,0,,0.0,"55,808","35,383","35,383","35,383","35,383","35,383",,0,,0.0,"35,328","118,551","118,551","118,551","118,551","118,551",,0,,0.0,"118,528","19,560","19,560","19,560","19,560","19,560",,0,,0.0,"19,456","10,323","10,323","10,323","10,323","10,323",,0,,0.0,"10,224",-704,-704,,-704,-704,,0,,0.0,1,-432,-432,,-432,-432,,0,,0.0,1,186,186,186,186,186,,0,,0.0,185,"5,343","5,343","5,343","5,343","5,343",,0,,0.0,"5,292","-1,339","-1,339",,"-1,339","-1,339",,0,,0.0,1,"49,022","49,022","49,022","49,022","49,022",,0,,0.0,"48,707",-819,-819,,-819,-819,,0,,0.0,1,"-1,309","-1,309",,"-1,309","-1,309",,0,,0.0,1,"13,520","13,520","13,520","13,520","13,520",,0,,0.0,"13,312"
H7,1,100.0,"101,307","101,307","101,307","101,307","101,307",,0,,0.0,"101,120","112,341","112,341","112,341","112,341","112,341",,0,,0.0,"112,128","59,099","59,099","59,099","59,099","59,099",,0,,0.0,"58,880","46,052","46,052","46,052","46,052","46,052",,0,,0.0,"45,824","106,539","106,539","106,539","106,539","106,539",,0,,0.0,"106,496","28,328","28,328","28,328","28,328","28,328",,0,,0.0,"28,160","2,352","2,352","2,352","2,352","2,352",,0,,0.0,"2,337",99,99,99,99,99,,0,,0.0,97,-321,-321,,-321,-321,,0,,0.0,1,144,144,144,144,144,,0,,0.0,143,"19,838","19,838","19,838","19,838","19,838",,0,,0.0,"19,753",-425,-425,,-425,-425,,0,,0.0,1,"49,521","49,521","49,521","49,521","49,521",,0,,0.0,"49,305",27,27,27,27,27,,0,,0.0,27,"1,660","1,660","1,660","1,660","1,660",,0,,0.0,"1,641","13,194","13,194","13,194","13,194","13,194",,0,,0.0,"13,056"
H8,1,100.0,"135,578","135,578","135,578","135,578","135,578",,0,,0.0,"135,424","128,947","128,947","128,947","128,947","128,947",,0,,0.0,"128,768","68,906","68,906","68,906","68,906","68,906",,0,,0.0,"68,864","34,715","34,715","34,715","34,715","34,715",,0,,0.0,"34,560","104,591","104,591","104,591","104,591","104,591",,0,,0.0,"104,448","21,752","21,752","21,752","21,752","21,752",,0,,0.0,"21,504","1,768","1,768","1,768","1,768","1,768",,0,,0.0,"1,766",-65,-65,,-65,-65,,0,,0.0,1,78,78,78,78,78,,0,,0.0,78,81,81,81,81,81,,0,,0.0,80,"6,242","6,242","6,242","6,242","6,242",,0,,0.0,"6,201",-231,-231,,-231,-231,,0,,0.0,1,"15,257","15,257","15,257","15,257","15,257",,0,,0.0,"15,105",0,0,,0,0,,0,,0.0,1,655,655,655,655,655,,0,,0.0,649,"12,715","12,715","12,715","12,715","12,715",,0,,0.0,"12,544"
H9,1,100.0,"119,507","119,507","119,507","119,507","119,507",,0,,0.0,"119,296","124,940","124,940","124,940","124,940","124,940",,0,,0.0,"124,928","62,686","62,686","62,686","62,686","62,686",,0,,0.0,"62,464","28,755","28,755","28,755","28,755","28,755",,0,,0.0,"28,672","110,535","110,535","110,535","110,535","110,535",,0,,0.0,"110,336","17,049","17,049","17,049","17,049","17,049",,0,,0.0,"16,896",599,599,599,599,599,,0,,0.0,596,75,75,75,75,75,,0,,0.0,75,-219,-219,,-219,-219,,0,,0.0,1,41,41,41,41,41,,0,,0.0,40,"4,587","4,587","4,587","4,587","4,587",,0,,0.0,"4,571",-392,-392,,-392,-392,,0,,0.0,1,"11,737","11,737","11,737","11,737","11,737",,0,,0.0,"11,692",56,56,56,56,56,,0,,0.0,55,463,463,463,463,463,,0,,0.0,462,"12,445","12,445","12,445","12,445","12,445",,0,,0.0,"12,288"
H10,1,100.0,"79,937","79,937","79,937","79,937","79,937",,0,,0.0,"79,872","101,631","101,631","101,631","101,631","101,631",,0,,0.0,"101,376","51,547","51,547","51,547","51,547","51,547",,0,,0.0,"51,456","23,623","23,623","23,623","23,623","23,623",,0,,0.0,"23,552","92,206","92,206","92,206","92,206","92,206",,0,,0.0,"92,160","16,790","16,790","16,790","16,790","16,790",,0,,0.0,"16,640",951,951,951,951,951,,0,,0.0,948,55,55,55,55,55,,0,,0.0,54,163,163,163,163,163,,0,,0.0,162,26,26,26,26,26,,0,,0.0,25,"7,260","7,260","7,260","7,260","7,260",,0,,0.0,"7,178",176,176,176,176,176,,0,,0.0,174,"22,941","22,941","22,941","22,941","22,941",,0,,0.0,"22,866",139,139,139,139,139,,0,,0.0,138,276,276,276,276,276,,0,,0.0,273,"12,131","12,131","12,131","12,131","12,131",,0,,0.0,"12,032"
H11,1,100.0,"111,071","111,071","111,071","111,071","111,071",,0,,0.0,"110,848","126,614","126,614","126,614","126,614","126,614",,0,,0.0,"126,464","57,491","57,491","57,491","57,491","57,491",,0,,0.0,"57,344","45,241","45,241","45,241","45,241","45,241",,0,,0.0,"45,056","116,020","116,020","116,020","116,020","116,020",,0,,0.0,"115,968","25,555","25,555","25,555","25,555","25,555",,0,,0.0,"25,344","28,566","28,566","28,566","28,566","28,566",,0,,0.0,"28,480","-2,500","-2,500",,"-2,500","-2,500",,0,,0.0,1,"-2,822","-2,822",,"-2,822","-2,822",,0,,0.0,1,118,118,118,118,118,,0,,0.0,118,"23,225","23,225","23,225","23,225","23,225",,0,,0.0,"23,147","-2,317","-2,317",,"-2,317","-2,317",,0,,0.0,1,"109,533","109,533","109,533","109,533","109,533",,0,,0.0,"108,937","-2,931","-2,931",,"-2,931","-2,931",,0,,0.0,1,"-9,352","-9,352",,"-9,352","-9,352",,0,,0.0,1,"11,917","11,917","11,916","11,917","11,917",,0,,0.0,"11,776"
H12,1,100.0,"108,644","108,644","108,644","108,644","108,644",,0,,0.0,"108,544","118,025","118,025","118,025","118,025","118,025",,0,,0.0,"118,016","60,327","60,327","60,327","60,327","60,327",,0,,0.0,"60,160","28,775","28,775","28,775","28,775","28,775",,0,,0.0,"28,672","98,977","98,977","98,977","98,977","98,977",,0,,0.0,"98,816","19,053","19,053","19,053","19,053","19,053",,0,,0.0,"18,944","3,052","3,052","3,052","3,052","3,052",,0,,0.0,"3,020",-116,-116,,-116,-116,,0,,0.0,1,-417,-417,,-417,-417,,0,,0.0,1,107,107,107,107,107,,0,,0.0,106,"7,874","7,874","7,874","7,874","7,874",,0,,0.0,"7,818",285,285,285,285,285,,0,,0.0,283,"40,791","40,791","40,791","40,791","40,791",,0,,0.0,"40,564",-187,-187,,-187,-187,,0,,0.0,1,-265,-265,,-265,-265,,0,,0.0,1,"11,656","11,656","11,656","11,656","11,656",,0,,0.0,"11,520"

