Experiment Name,141120BE56d10sort
Specimen Name,Specimen_001
Tube Name,INX_sampleAWE_005
Record Date,"Nov 20, 2014 7:59:42 PM"
$OP,CarolineGuibentif 
GUID,b80206b2-8d56-466e-9460-b3b1a7ed5660 
Date Analyzed,12/09/2014 18:10

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,Carolina96wells141120
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P4 #Events,P4 %Parent,P4 FSC-A Min,P4 FSC-A Max,P4 FSC-A Geo Mean,P4 FSC-A Mean,P4 FSC-A Median,P4 FSC-A SD,P4 FSC-A rSD,P4 FSC-A %CV,P4 FSC-A %rCV,P4 FSC-A Mode,P4 FSC-W Min,P4 FSC-W Max,P4 FSC-W Geo Mean,P4 FSC-W Mean,P4 FSC-W Median,P4 FSC-W SD,P4 FSC-W rSD,P4 FSC-W %CV,P4 FSC-W %rCV,P4 FSC-W Mode,P4 FSC-H Min,P4 FSC-H Max,P4 FSC-H Geo Mean,P4 FSC-H Mean,P4 FSC-H Median,P4 FSC-H SD,P4 FSC-H rSD,P4 FSC-H %CV,P4 FSC-H %rCV,P4 FSC-H Mode,P4 SSC-A Min,P4 SSC-A Max,P4 SSC-A Geo Mean,P4 SSC-A Mean,P4 SSC-A Median,P4 SSC-A SD,P4 SSC-A rSD,P4 SSC-A %CV,P4 SSC-A %rCV,P4 SSC-A Mode,P4 SSC-W Min,P4 SSC-W Max,P4 SSC-W Geo Mean,P4 SSC-W Mean,P4 SSC-W Median,P4 SSC-W SD,P4 SSC-W rSD,P4 SSC-W %CV,P4 SSC-W %rCV,P4 SSC-W Mode,P4 SSC-H Min,P4 SSC-H Max,P4 SSC-H Geo Mean,P4 SSC-H Mean,P4 SSC-H Median,P4 SSC-H SD,P4 SSC-H rSD,P4 SSC-H %CV,P4 SSC-H %rCV,P4 SSC-H Mode,P4 GFP FITC-A Min,P4 GFP FITC-A Max,P4 GFP FITC-A Geo Mean,P4 GFP FITC-A Mean,P4 GFP FITC-A Median,P4 GFP FITC-A SD,P4 GFP FITC-A rSD,P4 GFP FITC-A %CV,P4 GFP FITC-A %rCV,P4 GFP FITC-A Mode,P4 CD73 PE-A Min,P4 CD73 PE-A Max,P4 CD73 PE-A Geo Mean,P4 CD73 PE-A Mean,P4 CD73 PE-A Median,P4 CD73 PE-A SD,P4 CD73 PE-A rSD,P4 CD73 PE-A %CV,P4 CD73 PE-A %rCV,P4 CD73 PE-A Mode,P4 7AAD PE-Cy5-A Min,P4 7AAD PE-Cy5-A Max,P4 7AAD PE-Cy5-A Geo Mean,P4 7AAD PE-Cy5-A Mean,P4 7AAD PE-Cy5-A Median,P4 7AAD PE-Cy5-A SD,P4 7AAD PE-Cy5-A rSD,P4 7AAD PE-Cy5-A %CV,P4 7AAD PE-Cy5-A %rCV,P4 7AAD PE-Cy5-A Mode,P4 CD49f PE-Cy7-A Min,P4 CD49f PE-Cy7-A Max,P4 CD49f PE-Cy7-A Geo Mean,P4 CD49f PE-Cy7-A Mean,P4 CD49f PE-Cy7-A Median,P4 CD49f PE-Cy7-A SD,P4 CD49f PE-Cy7-A rSD,P4 CD49f PE-Cy7-A %CV,P4 CD49f PE-Cy7-A %rCV,P4 CD49f PE-Cy7-A Mode,P4 CD34 APC-A Min,P4 CD34 APC-A Max,P4 CD34 APC-A Geo Mean,P4 CD34 APC-A Mean,P4 CD34 APC-A Median,P4 CD34 APC-A SD,P4 CD34 APC-A rSD,P4 CD34 APC-A %CV,P4 CD34 APC-A %rCV,P4 CD34 APC-A Mode,P4 CD45 Alexa Fluor 700-A Min,P4 CD45 Alexa Fluor 700-A Max,P4 CD45 Alexa Fluor 700-A Geo Mean,P4 CD45 Alexa Fluor 700-A Mean,P4 CD45 Alexa Fluor 700-A Median,P4 CD45 Alexa Fluor 700-A SD,P4 CD45 Alexa Fluor 700-A rSD,P4 CD45 Alexa Fluor 700-A %CV,P4 CD45 Alexa Fluor 700-A %rCV,P4 CD45 Alexa Fluor 700-A Mode,P4 CD43 APC-Cy7-A Min,P4 CD43 APC-Cy7-A Max,P4 CD43 APC-Cy7-A Geo Mean,P4 CD43 APC-Cy7-A Mean,P4 CD43 APC-Cy7-A Median,P4 CD43 APC-Cy7-A SD,P4 CD43 APC-Cy7-A rSD,P4 CD43 APC-Cy7-A %CV,P4 CD43 APC-Cy7-A %rCV,P4 CD43 APC-Cy7-A Mode,P4 CXCR4 Pacific Blue-A Min,P4 CXCR4 Pacific Blue-A Max,P4 CXCR4 Pacific Blue-A Geo Mean,P4 CXCR4 Pacific Blue-A Mean,P4 CXCR4 Pacific Blue-A Median,P4 CXCR4 Pacific Blue-A SD,P4 CXCR4 Pacific Blue-A rSD,P4 CXCR4 Pacific Blue-A %CV,P4 CXCR4 Pacific Blue-A %rCV,P4 CXCR4 Pacific Blue-A Mode,P4 CD90 Qdot 605-A Min,P4 CD90 Qdot 605-A Max,P4 CD90 Qdot 605-A Geo Mean,P4 CD90 Qdot 605-A Mean,P4 CD90 Qdot 605-A Median,P4 CD90 Qdot 605-A SD,P4 CD90 Qdot 605-A rSD,P4 CD90 Qdot 605-A %CV,P4 CD90 Qdot 605-A %rCV,P4 CD90 Qdot 605-A Mode,P4 Time Min,P4 Time Max,P4 Time Geo Mean,P4 Time Mean,P4 Time Median,P4 Time SD,P4 Time rSD,P4 Time %CV,P4 Time %rCV,P4 Time Mode
C11,1,100.0,"99,023","99,023","99,023","99,023","99,023",,0,,0.0,"98,816","106,999","106,999","106,999","106,999","106,999",,0,,0.0,"106,752","60,651","60,651","60,651","60,651","60,651",,0,,0.0,"60,416","33,714","33,714","33,714","33,714","33,714",,0,,0.0,"33,536","90,337","90,337","90,337","90,337","90,337",,0,,0.0,"90,112","24,458","24,458","24,458","24,458","24,458",,0,,0.0,"24,320","3,289","3,289","3,289","3,289","3,289",,0,,0.0,"3,249",85,85,85,85,85,,0,,0.0,85,-449,-449,,-449,-449,,0,,0.0,1,-103,-103,,-103,-103,,0,,0.0,1,"65,021","65,021","65,021","65,021","65,021",,0,,0.0,"64,479",-179,-179,,-179,-179,,0,,0.0,1,944,944,944,944,944,,0,,0.0,936,575,575,575,575,575,,0,,0.0,575,"19,700","19,700","19,700","19,700","19,700",,0,,0.0,"19,514","23,154","23,154","23,154","23,154","23,154",,0,,0.0,"23,040"
C12,1,100.0,"116,212","116,212","116,212","116,212","116,212",,0,,0.0,"115,968","120,721","120,721","120,721","120,721","120,721",,0,,0.0,"120,576","63,088","63,088","63,088","63,088","63,088",,0,,0.0,"62,976","64,452","64,452","64,452","64,452","64,452",,0,,0.0,"64,256","100,088","100,088","100,088","100,088","100,088",,0,,0.0,"99,840","42,202","42,202","42,202","42,202","42,202",,0,,0.0,"41,984","7,484","7,484","7,484","7,484","7,484",,0,,0.0,"7,446",705,705,705,705,705,,0,,0.0,699,63,63,63,63,63,,0,,0.0,62,"2,293","2,293","2,293","2,293","2,293",,0,,0.0,"2,281","4,945","4,945","4,945","4,945","4,945",,0,,0.0,"4,918",-529,-529,,-529,-529,,0,,0.0,1,222,222,222,222,222,,0,,0.0,219,814,814,814,814,814,,0,,0.0,809,949,949,949,949,949,,0,,0.0,948,"23,430","23,430","23,430","23,430","23,430",,0,,0.0,"23,296"
D1,1,100.0,"112,409","112,409","112,409","112,409","112,409",,0,,0.0,"112,384","124,984","124,984","124,984","124,984","124,984",,0,,0.0,"124,928","58,942","58,942","58,942","58,942","58,942",,0,,0.0,"58,880","31,175","31,175","31,175","31,175","31,175",,0,,0.0,"30,976","102,646","102,646","102,646","102,646","102,646",,0,,0.0,"102,400","19,904","19,904","19,904","19,904","19,904",,0,,0.0,"19,712",487,487,487,487,487,,0,,0.0,485,441,441,441,441,441,,0,,0.0,440,-50,-50,,-50,-50,,0,,0.0,1,451,451,451,451,451,,0,,0.0,450,"29,943","29,943","29,943","29,943","29,943",,0,,0.0,"29,904","-1,424","-1,424",,"-1,424","-1,424",,0,,0.0,1,"2,294","2,294","2,294","2,294","2,294",,0,,0.0,"2,281",453,453,453,453,453,,0,,0.0,450,"34,487","34,487","34,487","34,487","34,487",,0,,0.0,"34,197","16,874","16,874","16,874","16,874","16,874",,0,,0.0,"16,640"
D2,1,100.0,"89,834","89,834","89,834","89,834","89,834",,0,,0.0,"89,600","109,878","109,878","109,878","109,878","109,878",,0,,0.0,"109,824","53,581","53,581","53,581","53,581","53,581",,0,,0.0,"53,504","51,046","51,046","51,046","51,046","51,046",,0,,0.0,"50,944","93,802","93,802","93,802","93,802","93,802",,0,,0.0,"93,696","35,664","35,664","35,664","35,664","35,664",,0,,0.0,"35,584","1,407","1,407","1,407","1,407","1,407",,0,,0.0,"1,400","23,045","23,045","23,045","23,045","23,045",,0,,0.0,"22,866",-356,-356,,-356,-356,,0,,0.0,1,104,104,104,104,104,,0,,0.0,103,"129,715","129,715","129,715","129,715","129,715",,0,,0.0,"129,220","-1,473","-1,473",,"-1,473","-1,473",,0,,0.0,1,768,768,768,768,768,,0,,0.0,761,"11,768","11,768","11,768","11,768","11,768",,0,,0.0,"11,692","27,110","27,110","27,110","27,110","27,110",,0,,0.0,"26,795","17,358","17,358","17,357","17,358","17,358",,0,,0.0,"17,152"
D3,1,100.0,"102,291","102,291","102,291","102,291","102,291",,0,,0.0,"102,144","112,140","112,140","112,140","112,140","112,140",,0,,0.0,"112,128","59,780","59,780","59,780","59,780","59,780",,0,,0.0,"59,648","37,105","37,105","37,105","37,105","37,105",,0,,0.0,"36,864","94,734","94,734","94,734","94,734","94,734",,0,,0.0,"94,720","25,669","25,669","25,669","25,669","25,669",,0,,0.0,"25,600",737,737,737,737,737,,0,,0.0,734,507,507,507,507,507,,0,,0.0,503,-412,-412,,-412,-412,,0,,0.0,1,-79,-79,,-79,-79,,0,,0.0,1,"103,948","103,948","103,948","103,948","103,948",,0,,0.0,"103,750",-159,-159,,-159,-159,,0,,0.0,1,247,247,247,247,247,,0,,0.0,245,94,94,94,94,94,,0,,0.0,92,"22,958","22,958","22,958","22,958","22,958",,0,,0.0,"22,866","18,713","18,713","18,713","18,713","18,713",,0,,0.0,"18,688"
D4,1,100.0,"95,874","95,874","95,874","95,874","95,874",,0,,0.0,"95,744","111,543","111,543","111,543","111,543","111,543",,0,,0.0,"111,360","56,330","56,330","56,330","56,330","56,330",,0,,0.0,"56,320","47,984","47,984","47,984","47,984","47,984",,0,,0.0,"47,872","109,221","109,221","109,221","109,221","109,221",,0,,0.0,"109,056","28,792","28,792","28,792","28,792","28,792",,0,,0.0,"28,672","2,026","2,026","2,026","2,026","2,026",,0,,0.0,"2,019",141,141,141,141,141,,0,,0.0,140,292,292,292,292,292,,0,,0.0,290,881,881,881,881,881,,0,,0.0,881,"59,185","59,185","59,185","59,185","59,185",,0,,0.0,"58,485",-599,-599,,-599,-599,,0,,0.0,1,123,123,123,123,123,,0,,0.0,121,"1,031","1,031","1,031","1,031","1,031",,0,,0.0,"1,020",877,877,877,877,877,,0,,0.0,870,"28,388","28,388","28,388","28,388","28,388",,0,,0.0,"28,160"
D5,1,100.0,"84,771","84,771","84,771","84,771","84,771",,0,,0.0,"84,736","104,219","104,219","104,219","104,219","104,219",,0,,0.0,"104,192","53,306","53,306","53,306","53,306","53,306",,0,,0.0,"53,248","38,238","38,238","38,238","38,238","38,238",,0,,0.0,"38,144","100,059","100,059","100,059","100,059","100,059",,0,,0.0,"99,840","25,045","25,045","25,045","25,045","25,045",,0,,0.0,"24,832","1,467","1,467","1,467","1,467","1,467",,0,,0.0,"1,453","1,288","1,288","1,288","1,288","1,288",,0,,0.0,"1,286",96,96,96,96,96,,0,,0.0,95,86,86,86,86,86,,0,,0.0,86,"10,762","10,762","10,762","10,762","10,762",,0,,0.0,"10,735",-414,-414,,-414,-414,,0,,0.0,1,150,150,150,150,150,,0,,0.0,148,100,100,100,100,100,,0,,0.0,99,"11,871","11,871","11,871","11,871","11,871",,0,,0.0,"11,835","27,877","27,877","27,877","27,877","27,877",,0,,0.0,"27,648"
D6,1,100.0,"92,611","92,611","92,611","92,611","92,611",,0,,0.0,"92,416","108,043","108,043","108,043","108,043","108,043",,0,,0.0,"108,032","56,175","56,175","56,175","56,175","56,175",,0,,0.0,"56,064","18,924","18,924","18,924","18,924","18,924",,0,,0.0,"18,688","96,740","96,740","96,740","96,740","96,740",,0,,0.0,"96,512","12,820","12,820","12,820","12,820","12,820",,0,,0.0,"12,800","1,001","1,001","1,001","1,001","1,001",,0,,0.0,995,"3,639","3,639","3,639","3,639","3,639",,0,,0.0,"3,626",338,338,338,338,338,,0,,0.0,336,5,5,5,5,5,,0,,0.0,5,"39,706","39,706","39,706","39,706","39,706",,0,,0.0,"39,587","1,604","1,604","1,604","1,604","1,604",,0,,0.0,"1,601",-32,-32,,-32,-32,,0,,0.0,1,550,550,550,550,550,,0,,0.0,548,"8,415","8,415","8,415","8,415","8,415",,0,,0.0,"8,411","27,406","27,406","27,406","27,406","27,406",,0,,0.0,"27,392"
D7,1,100.0,"84,444","84,444","84,444","84,444","84,444",,0,,0.0,"84,224","103,959","103,959","103,959","103,959","103,959",,0,,0.0,"103,936","53,234","53,234","53,234","53,234","53,234",,0,,0.0,"52,992","45,170","45,170","45,170","45,170","45,170",,0,,0.0,"45,056","93,703","93,703","93,703","93,703","93,703",,0,,0.0,"93,696","31,592","31,592","31,592","31,592","31,592",,0,,0.0,"31,488",987,987,987,987,987,,0,,0.0,983,122,122,122,122,122,,0,,0.0,121,-64,-64,,-64,-64,,0,,0.0,1,573,573,573,573,573,,0,,0.0,568,"4,248","4,248","4,248","4,248","4,248",,0,,0.0,"4,197",115,115,115,115,115,,0,,0.0,115,-28,-28,,-28,-28,,0,,0.0,1,596,596,596,596,596,,0,,0.0,589,736,736,736,736,736,,0,,0.0,734,"26,984","26,984","26,983","26,984","26,984",,0,,0.0,"26,880"
D8,1,100.0,"77,990","77,990","77,990","77,990","77,990",,0,,0.0,"77,824","96,366","96,366","96,366","96,366","96,366",,0,,0.0,"96,256","53,039","53,039","53,039","53,039","53,039",,0,,0.0,"52,992","27,660","27,660","27,660","27,660","27,660",,0,,0.0,"27,648","90,396","90,396","90,396","90,396","90,396",,0,,0.0,"90,368","20,053","20,053","20,053","20,053","20,053",,0,,0.0,"19,968",383,383,383,383,383,,0,,0.0,380,"16,087","16,087","16,087","16,087","16,087",,0,,0.0,"16,054",-183,-183,,-183,-183,,0,,0.0,1,197,197,197,197,197,,0,,0.0,197,"135,453","135,453","135,453","135,453","135,453",,0,,0.0,"134,035",-69,-69,,-69,-69,,0,,0.0,1,701,701,701,701,701,,0,,0.0,699,597,597,597,597,597,,0,,0.0,596,"25,998","25,998","25,998","25,998","25,998",,0,,0.0,"25,832","26,717","26,717","26,717","26,717","26,717",,0,,0.0,"26,624"
D9,1,100.0,"93,162","93,162","93,162","93,162","93,162",,0,,0.0,"92,928","106,044","106,044","106,044","106,044","106,044",,0,,0.0,"105,984","57,575","57,575","57,575","57,575","57,575",,0,,0.0,"57,344","26,274","26,274","26,274","26,274","26,274",,0,,0.0,"26,112","86,426","86,426","86,426","86,426","86,426",,0,,0.0,"86,272","19,923","19,923","19,923","19,923","19,923",,0,,0.0,"19,712","1,141","1,141","1,141","1,141","1,141",,0,,0.0,"1,138",273,273,273,273,273,,0,,0.0,270,"-1,071","-1,071",,"-1,071","-1,071",,0,,0.0,1,14,14,14,14,14,,0,,0.0,14,"45,559","45,559","45,559","45,559","45,559",,0,,0.0,"45,270",-371,-371,,-371,-371,,0,,0.0,1,-15,-15,,-15,-15,,0,,0.0,1,245,245,245,245,245,,0,,0.0,245,"18,505","18,505","18,505","18,505","18,505",,0,,0.0,"18,359","26,142","26,142","26,142","26,142","26,142",,0,,0.0,"26,112"
D10,1,100.0,"116,410","116,410","116,410","116,410","116,410",,0,,0.0,"116,224","127,026","127,026","127,026","127,026","127,026",,0,,0.0,"126,976","60,059","60,059","60,059","60,059","60,059",,0,,0.0,"59,904","45,462","45,462","45,462","45,462","45,462",,0,,0.0,"45,312","103,517","103,517","103,517","103,517","103,517",,0,,0.0,"103,424","28,782","28,782","28,782","28,782","28,782",,0,,0.0,"28,672","2,047","2,047","2,047","2,047","2,047",,0,,0.0,"2,044","2,970","2,970","2,970","2,970","2,970",,0,,0.0,"2,947",111,111,111,111,111,,0,,0.0,109,-28,-28,,-28,-28,,0,,0.0,1,"29,439","29,439","29,439","29,439","29,439",,0,,0.0,"29,183",769,769,769,769,769,,0,,0.0,761,-435,-435,,-435,-435,,0,,0.0,1,252,252,252,252,252,,0,,0.0,251,"38,587","38,587","38,587","38,587","38,587",,0,,0.0,"38,164","25,510","25,510","25,510","25,510","25,510",,0,,0.0,"25,344"
D11,1,100.0,"115,756","115,756","115,756","115,756","115,756",,0,,0.0,"115,712","119,327","119,327","119,327","119,327","119,327",,0,,0.0,"119,296","63,575","63,575","63,575","63,575","63,575",,0,,0.0,"63,488","58,807","58,807","58,807","58,807","58,807",,0,,0.0,"58,624","92,148","92,148","92,148","92,148","92,148",,0,,0.0,"91,904","41,824","41,824","41,824","41,824","41,824",,0,,0.0,"41,728","3,385","3,385","3,385","3,385","3,385",,0,,0.0,"3,370",354,354,354,354,354,,0,,0.0,353,319,319,319,319,319,,0,,0.0,316,"2,087","2,087","2,087","2,087","2,087",,0,,0.0,"2,069","5,840","5,840","5,840","5,840","5,840",,0,,0.0,"5,834",-194,-194,,-194,-194,,0,,0.0,1,426,426,426,426,426,,0,,0.0,424,"1,700","1,700","1,700","1,700","1,700",,0,,0.0,"1,682",786,786,786,786,786,,0,,0.0,780,"24,721","24,721","24,721","24,721","24,721",,0,,0.0,"24,576"
D12,1,100.0,"84,368","84,368","84,368","84,368","84,368",,0,,0.0,"84,224","111,792","111,792","111,792","111,792","111,792",,0,,0.0,"111,616","49,459","49,459","49,459","49,459","49,459",,0,,0.0,"49,408","52,320","52,320","52,320","52,320","52,320",,0,,0.0,"52,224","97,197","97,197","97,197","97,197","97,197",,0,,0.0,"97,024","35,277","35,277","35,277","35,277","35,277",,0,,0.0,"35,072",514,514,514,514,514,,0,,0.0,509,97,97,97,97,97,,0,,0.0,97,116,116,116,116,116,,0,,0.0,115,"1,057","1,057","1,057","1,057","1,057",,0,,0.0,"1,045","4,959","4,959","4,959","4,959","4,959",,0,,0.0,"4,918",632,632,632,632,632,,0,,0.0,626,-57,-57,,-57,-57,,0,,0.0,1,"1,388","1,388","1,388","1,388","1,388",,0,,0.0,"1,383",889,889,889,889,889,,0,,0.0,881,"24,029","24,029","24,029","24,029","24,029",,0,,0.0,"23,808"

