Chip Run Info,C:\Documents and Settings\regmgka\Desktop\PCR data files\241111_GK_SEJLTHSC9+_left\ChipRun.bml,1131214095,48.48 (113x),Default-10min-Hot-Start,ROX,FAM-MGB,24/11/2011 14:45:06,01:31:39,BIOMARK190
Application Version,3.0.2
Application Build,20100811.2212
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent
ID,Name,Type,rConc,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call
S47-A05,sc_41,Unknown,1,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A06,sc_41,Unknown,1,Pbx1,Test,control,16.6332059976536,0.92,Pass,0.0212016009526505,3.19945917183785,0.92,Pass
S47-A07,sc_41,Unknown,1,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A08,sc_41,Unknown,1,Cited2,Test,control,16.7696970741057,0.84,Pass,0.0212016009526505,3.33595024828993,0.84,Pass
S47-A09,sc_41,Unknown,1,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A10,sc_41,Unknown,1,control,Reference,,15.4016878513328,0.91,Pass,0.0212016009526505,1.96794102551711,0.91,Pass
S47-A11,sc_41,Unknown,1,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A12,sc_41,Unknown,1,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A13,sc_41,Unknown,1,Byglycan,Test,control,16.1638933237826,0.93,Pass,0.0212016009526505,2.73014649796685,0.93,Pass
S47-A14,sc_41,Unknown,1,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A15,sc_41,Unknown,1,Esam1,Test,control,18.111010821704,0.93,Pass,0.0212016009526505,4.67726399588823,0.93,Pass
S47-A16,sc_41,Unknown,1,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A17,sc_41,Unknown,1,p16,Test,control,16.8840817067278,0.88,Pass,0.0212016009526505,3.45033488091205,0.88,Pass
S47-A18,sc_41,Unknown,1,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A19,sc_41,Unknown,1,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A20,sc_41,Unknown,1,Ccnb2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A21,sc_41,Unknown,1,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A22,sc_41,Unknown,1,Ikzf1,Test,control,18.2761964269519,0.9,Pass,0.0212016009526505,4.84244960113617,0.9,Pass
S47-A23,sc_41,Unknown,1,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A24,sc_41,Unknown,1,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A25,sc_41,Unknown,1,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A26,sc_41,Unknown,1,Ccnd1,Test,control,17.3502718717594,0.95,Pass,0.0212016009526505,3.91652504594367,0.94,Pass
S47-A27,sc_41,Unknown,1,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A28,sc_41,Unknown,1,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A29,sc_41,Unknown,1,p19,Test,control,16.0550391822679,0.93,Pass,0.0212016009526505,2.62129235645213,0.93,Pass
S47-A30,sc_41,Unknown,1,S100a6,Test,control,18.2429324346405,0.9,Pass,0.0212016009526505,4.80918560882477,0.9,Pass
S47-A31,sc_41,Unknown,1,Cd34,Test,control,17.9287505140764,0.84,Pass,0.0212016009526505,4.49500368826071,0.84,Pass
S47-A32,sc_41,Unknown,1,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A33,sc_41,Unknown,1,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A34,sc_41,Unknown,1,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A35,sc_41,Unknown,1,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A36,sc_41,Unknown,1,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A37,sc_41,Unknown,1,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A38,sc_41,Unknown,1,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A39,sc_41,Unknown,1,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A40,sc_41,Unknown,1,Mpl,Test,control,15.5676396721271,0.97,Pass,0.0212016009526505,2.13389284631135,0.94,Pass
S47-A41,sc_41,Unknown,1,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A42,sc_41,Unknown,1,Tie1,Test,control,17.7529574206652,0.88,Pass,0.0212016009526505,4.31921059484943,0.88,Pass
S47-A43,sc_41,Unknown,1,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A44,sc_41,Unknown,1,Ccng1,Test,control,18.1621665298509,0.87,Pass,0.0212016009526505,4.72841970403517,0.87,Pass
S47-A45,sc_41,Unknown,1,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A46,sc_41,Unknown,1,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A47,sc_41,Unknown,1,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S47-A48,sc_41,Unknown,1,control,Reference,,12.1934260977714,0.96,Pass,0.0212016009526505,-1.24032072804435,0.94,Pass
S02-A01,noRT_ctrl_2,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A02,noRT_ctrl_2,Unknown,0,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A03,noRT_ctrl_2,Unknown,0,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A04,noRT_ctrl_2,Unknown,0,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A05,noRT_ctrl_2,Unknown,0,Rbl1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A06,noRT_ctrl_2,Unknown,0,Pbx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A07,noRT_ctrl_2,Unknown,0,Bmi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A08,noRT_ctrl_2,Unknown,0,Cited2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A09,noRT_ctrl_2,Unknown,0,Epor,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A10,noRT_ctrl_2,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A11,noRT_ctrl_2,Unknown,0,Rbl2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A12,noRT_ctrl_2,Unknown,0,Procr,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A13,noRT_ctrl_2,Unknown,0,Byglycan,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A14,noRT_ctrl_2,Unknown,0,Ccna2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A15,noRT_ctrl_2,Unknown,0,Esam1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A16,noRT_ctrl_2,Unknown,0,Il7r,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A17,noRT_ctrl_2,Unknown,0,p16,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A18,noRT_ctrl_2,Unknown,0,Rag1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A19,noRT_ctrl_2,Unknown,0,Cbx4,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A20,noRT_ctrl_2,Unknown,0,Ccnb2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A21,noRT_ctrl_2,Unknown,0,Flt3,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A22,noRT_ctrl_2,Unknown,0,Ikzf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A23,noRT_ctrl_2,Unknown,0,p18,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A24,noRT_ctrl_2,Unknown,0,Runx1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A25,noRT_ctrl_2,Unknown,0,Cd150,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A26,noRT_ctrl_2,Unknown,0,Ccnd1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A27,noRT_ctrl_2,Unknown,0,Gata1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A28,noRT_ctrl_2,Unknown,0,ki67,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A29,noRT_ctrl_2,Unknown,0,p19,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A30,noRT_ctrl_2,Unknown,0,S100a6,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A31,noRT_ctrl_2,Unknown,0,Cd34,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A32,noRT_ctrl_2,Unknown,0,Ccne1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A33,noRT_ctrl_2,Unknown,0,Gata2,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A34,noRT_ctrl_2,Unknown,0,Lck,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A35,noRT_ctrl_2,Unknown,0,p21,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A36,noRT_ctrl_2,Unknown,0,Tal1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A37,noRT_ctrl_2,Unknown,0,Cd48,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A38,noRT_ctrl_2,Unknown,0,ccnf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A39,noRT_ctrl_2,Unknown,0,Gfi1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A40,noRT_ctrl_2,Unknown,0,Mpl,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A41,noRT_ctrl_2,Unknown,0,p27,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A42,noRT_ctrl_2,Unknown,0,Tie1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A43,noRT_ctrl_2,Unknown,0,Cd9,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A44,noRT_ctrl_2,Unknown,0,Ccng1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A45,noRT_ctrl_2,Unknown,0,Hoxa5,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A46,noRT_ctrl_2,Unknown,0,Mpo,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A47,noRT_ctrl_2,Unknown,0,p57,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S02-A48,noRT_ctrl_2,Unknown,0,control,Reference,,999,0,Fail,0.0212016009526505,999,0,Fail
S46-A01,sc_40,Unknown,1,control,Reference,,12.8922163949387,0.93,Pass,0.0212016009526505,-0.871797455104273,0.916666666666667,Pass
S46-A02,sc_40,Unknown,1,Cebpa,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S46-A03,sc_40,Unknown,1,Ebf1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S46-A04,sc_40,Unknown,1,Hes1,Test,control,999,0,Fail,0.0212016009526505,999,0,Fail
S46-A05,sc_40,Unknown,1,Rbl1,Test,control,20.8960990846079,0.9,Pass,0.0212016009526505,7.13208523456484,0.9,Pass
S46-A06,sc_40,Unknown,1,Pbx1,Test,control,15.7488420501026,0.93,Pass,0.0212016009526505,1.98482820005963,0.916666666666667,Pass
S46-A07,sc_40,Unknown,1,Bmi1,Test,control,17.9559231062996,0.93,Pass,0.0212016009526505,4.19190925625656,0.916666666666667,Pass
S46-A08,sc_40,Unknown,1,Cited2,Test,control,14.6380054357269,0.91,Pass,0.0212016009526505,0.873991585683845,0.91,Pass
